"","Pos","Points","Assists","Rebounds","Year"
"2965","PG",3.8,1.9,1,1991
"2966","SF",14.8,3.1,6.6,1991
"2967","C",15.8,1.1,6.6,1991
"2968","PF",5.1,0.5,3.6,1991
"2969","PG",17,8,3.4,1991
"2970","SG",13,1.8,2.5,1991
"2971","C",2.2,0.3,2.8,1991
"2972","PF",6.1,0.4,3.6,1992
"2973","PF",11.3,1.4,8.9,1992
"2974","SF",12.4,1.7,5.1,1992
"2975","SG",25,6.7,6.6,1992
"2976","SG",9.7,2.5,1.8,1992
"2977","PG",3,1.5,1,1992
"2978","SF",12.6,3.2,8.2,1992
"2979","C",10.7,1.2,6,1992
"2980","SG",2.5,0.3,0.3,1992
"2981","PF",4.1,0.7,3.6,1992
"2982","PG",4.6,1.9,1.3,1992
"2983","PG",18.1,5.8,3.1,1992
"2984","C",2.2,0.6,2.9,1992
"2985","PF",7.7,0.4,4.5,1993
"2986","SG",2.4,1.4,0.1,1993
"2987","PG",10.9,5.8,3.1,1993
"2988","PF",4.6,0.1,6.1,1993
"2989","C",3.3,0.5,4.4,1993
"2990","PG",2.3,2,0.7,1993
"2991","SG",4.7,0.7,3.6,1993
"2992","SF",13.3,2.8,3,1993
"2993","PF",10.7,1,5,1993
"2994","PF",1.3,0.2,2,1993
"2995","PF",4.3,0.2,1.2,1993
"2996","SG",20.8,3.7,4.3,1993
"2997","SF",6.4,1.6,2.3,1993
"2998","C",12.6,0.8,9.4,1993
"2999","PG",7.8,6.4,2,1993
"3000","PF",13.5,2,5.9,1993
"3001","PF",4.7,0.2,2.1,1995
"3002","SG",3.8,1.8,4,1995
"3003","PG",3.5,3.2,1.1,1995
"3004","SF",18.1,2.8,6.9,1995
"3005","SG",5,3,1.6,1995
"3006","PG",20.6,7.5,3.3,1995
"3007","C",4.7,0.5,3.4,1995
"3008","SG",5,1.3,1.3,1995
"3009","SG",3.3,0.9,2,1995
"3010","SG",8.3,1.6,3.1,1995
"3011","SG",18.4,1.5,2.9,1995
"3012","SG",4.6,1.2,2.3,1995
"3013","PF",6.4,0.8,6.3,1995
"3014","C",11.4,0.6,6,1995
"3015","C",9.5,0.6,8.1,1995
"3016","PF",1.8,0.3,2.1,1995
"3017","SF",15.3,1.8,3.1,1995
"3018","SF",5.8,0.9,1.9,2006
"3019","SF",6.4,1.2,3.3,2006
"3020","PG",12.6,8.8,3.2,2006
"3021","PF",13.2,1.2,10,2006
"3022","SF",15.2,1.7,7.5,2006
"3023","C",5.3,0.8,3.6,2006
"3024","PF",10.5,0.8,5,2006
"3025","SG",10.1,1.1,2.2,2006
"3026","PG",1.8,1.2,0.7,2006
"3027","C",2.9,0.1,2.9,2006
"3028","SG",7.6,0.4,2,2006
"3029","PF",9.8,1.3,4.8,2006
"3030","C",12.4,0.6,5.6,2006
"3031","PG",11.9,5.6,3.4,2006
"3032","PF",8.2,1,4.7,2006
"3033","SF",7.2,1,2.2,2014
"3034","PF",11.2,1.5,5.3,2014
"3035","PF",5,1.6,3.2,2014
"3036","C",20.7,0.9,6,2014
"3037","PG",14.3,6.1,2.6,2014
"3038","C",1.1,0.2,0.8,2014
"3039","PG",4.5,1.6,1,2014
"3040","SG",15.8,2.7,3.4,2014
"3041","PG",4.1,2,1.5,2014
"3042","C",6.5,1.5,6.6,2014
"3043","SG",9.8,1.1,2.8,2014
"3044","SG",2.7,1.5,1,2014
"3045","C",7.4,0.9,4.4,2014
"3046","SF",8.6,0.8,3.7,2014
"3047","SF",13.5,2.4,4.6,2014
"3048","PG",8.3,3.2,3.3,2014
"3049","PG",3.9,1.6,0.6,2014
"3050","SG",7.4,1.1,2.7,2015
"3051","SF",0.4,0.1,1.2,2015
"3052","SF",9,0.9,2.7,2015
"3053","PF",5.3,1.1,3.1,2015
"3054","C",17.2,0.7,7.5,2015
"3055","PF",3.7,0.3,2.9,2015
"3056","PG",2.2,1.3,0.7,2015
"3057","PG",13,6.6,3.5,2015
"3058","PF",2.7,0.3,2.3,2015
"3059","PG",12,4.7,3,2015
"3060","C",3.1,0.3,2.4,2015
"3061","SG",14.4,3.7,4.8,2015
"3062","SG",4.6,0.8,2.2,2015
"3063","C",8.7,0.9,6.2,2015
"3064","PF",8.5,1.2,4.9,2015
"3065","SG",4.6,1.4,2,2015
"3066","PF",14.1,2.3,5.4,2015
"3067","SG",5,1.1,2.1,2016
"3068","SG",17.4,2.9,3.4,2016
"3069","C",2.1,0.4,2,2016
"3070","PF",2.7,0.4,2.8,2016
"3071","SF",7.3,1.8,2.7,2016
"3072","SG",9.8,1.2,2.1,2016
"3073","C",5.9,0.7,3.8,2016
"3074","PF",7.9,2.1,3.6,2016
"3075","SF",2.4,0.2,0.9,2016
"3076","PG",19.9,10.2,4.9,2016
"3077","SF",3.7,0.2,2.1,2016
"3078","C",13.5,1.4,9.9,2016
"3079","SG",9.7,1.4,2.4,2016
"3080","PF",12,1.9,5.5,2016
"3081","PF",9.2,1.7,4.5,2016
"3082","SF",11.6,1.6,5.2,2016
"3083","PG",9.9,2.9,2.5,2016
"3084","SF",2.9,0.4,0.8,2017
"3085","SG",12,2.8,2.2,2017
"3086","PF",21.6,4.9,8.1,2017
"3087","PF",5.6,0.4,2.5,2017
"3088","PF",1.3,0.3,1,2017
"3089","PG",18.1,9.2,5,2017
"3090","C",12.7,1.2,13.8,2017
"3091","C",1.4,0,0.8,2017
"3092","SG",15,1.4,2.2,2017
"3093","SG",12.3,2.6,1.6,2017
"3094","SF",6.1,0.5,2.2,2017
"3095","C",8.7,0.8,4.6,2017
"3096","SF",3.2,0.4,1.9,2017
"3097","PG",6.7,2.4,2.7,2017
"3098","SF",2.7,0.3,2.7,2017
"3099","PF",6.4,0.6,4.5,1996
"3100","C",16.4,2.7,7.3,1996
"3101","SG",8.5,1.7,3.2,1996
"3102","SG",3,0.4,1.2,1996
"3103","PF",13.1,2.2,9.6,1996
"3104","PG",2.6,0.4,0,1996
"3105","SF",8.9,1.9,3.9,1996
"3106","PF",3.8,0.4,1.3,1996
"3107","PG",15.7,5.9,4.1,1996
"3108","PG",3.9,1.2,2.2,1996
"3109","C",6.5,0.7,3.9,1996
"3110","SF",12.7,1.8,4,1996
"3111","SG",18.1,2.8,4.1,1996
"3112","PF",0,0.3,0.7,1996
"3113","PF",6.6,0.8,3.9,1997
"3114","PF",0,0,7,1997
"3115","PF",18.1,2.7,8.8,1997
"3116","C",0,0,2,1997
"3117","C",13.3,1.4,11.7,1997
"3118","SG",2.5,0.6,0.7,1997
"3119","SG",5.7,1.3,1.6,1997
"3120","PF",6.7,0.4,1.5,1997
"3121","PF",1.4,0.3,2.9,1997
"3122","SG",4.9,2,1.7,1997
"3123","SF",3.8,0.7,2.3,1997
"3124","PG",17.4,5.9,5.3,1997
"3125","C",3.2,0.3,1.3,1997
"3126","SG",20.1,4.2,3.4,1997
"3127","SF",9.5,1.8,4.2,1997
"3128","SF",6.2,0.5,1.8,1997
"3129","PF",14.3,1.1,6.4,1998
"3130","PF",2.1,0.1,1.9,1998
"3131","SG",3,0.4,1.8,1998
"3132","PF",3.8,0.2,1,1998
"3133","PF",13.8,2.6,6.6,1998
"3134","SF",5,0.7,2.3,1998
"3135","C",13.4,1,11.4,1998
"3136","PG",0.7,0.3,0.3,1998
"3137","PG",2.1,1.8,1.3,1998
"3138","SG",7.6,1.1,1.5,1998
"3139","SG",9.3,2,2.4,1998
"3140","C",1.8,0.3,2.4,1998
"3141","PG",13.2,6.7,4.9,1998
"3142","PG",0.8,0.4,0.5,1998
"3143","SG",20.1,4,4.2,1998
"3144","SF",10.2,2.2,4.6,1998
"3145","SF",12.5,0.7,6.5,1999
"3146","PG",5,2.2,1.5,1999
"3147","PF",6.9,0.6,2.2,1999
"3148","C",10.8,1.1,12.2,1999
"3149","SG",4.9,0.4,0.9,1999
"3150","PF",9.8,1.1,5.9,1999
"3151","SG",2.2,0.9,1.2,1999
"3152","PF",10.2,0.9,5.5,1999
"3153","C",1.2,0.3,2.6,1999
"3154","PG",13.3,5.8,4.6,1999
"3155","SF",4.8,0.4,1.5,1999
"3156","PG",1.5,0.5,0,1999
"3157","SG",18.7,3.3,4.2,1999
"3158","SF",7.5,0.9,3.1,1999
"3159","PF",13.2,0.9,6.9,2000
"3160","PG",8.1,3.6,2.2,2000
"3161","SF",2.7,0.3,1.9,2000
"3162","PF",4.6,0.6,1.8,2000
"3163","C",11.5,1.3,14.1,2000
"3164","SG",6.5,0.9,1.3,2000
"3165","PG",2.6,2.1,0.8,2000
"3166","SG",19.3,3.7,4.4,2000
"3167","PG",8.1,4.3,2.1,2000
"3168","SF",16.7,2.9,5,2000
"3169","PF",8.4,1,5,2000
"3170","C",6,0.3,4.1,2000
"3171","SF",7.2,1.2,3.1,2000
"3172","PF",10.5,0.7,5.6,2001
"3173","SF",0,0,0,2001
"3174","PG",6.3,5.9,3.1,2001
"3175","SF",3.2,0.1,1.8,2001
"3176","PF",6.8,0.8,2.3,2001
"3177","SF",5.1,0.8,2.3,2001
"3178","SG",5.9,1.2,2.3,2001
"3179","SF",4.4,0.3,2.4,2001
"3180","PG",0,2.3,0.6,2001
"3181","SG",19.7,4.9,3.3,2001
"3182","PG",5.9,1.1,2.6,2001
"3183","C",12.4,1.2,7.5,2001
"3184","PG",6.7,2.8,2.2,2001
"3185","C",7.6,0.3,5.3,2001
"3186","SF",11.1,3.1,4,2001
"3187","SG",2.8,1.7,0.5,2001
"3188","PF",5.5,0.4,3.7,2002
"3189","PF",3.1,0.2,2.1,2002
"3190","PF",7.6,0.7,3.6,2002
"3191","SF",8.4,1.1,3.4,2002
"3192","PF",0,1,0,2002
"3193","SG",8.9,1.5,3.1,2002
"3194","PG",6.6,2.4,2.7,2002
"3195","C",4.8,0.6,3.3,2002
"3196","SF",8,1.1,5.3,2002
"3197","PG",6.6,4.3,2,2002
"3198","SG",19.3,5.7,3.4,2002
"3199","C",2.2,0.2,2.2,2002
"3200","SF",4.5,0.4,2.9,2002
"3201","C",9.7,0.4,8,2002
"3202","PF",2.6,0.1,1.1,2002
"3203","PF",21.2,3.1,9.1,2002
"3204","C",8.7,0.3,5.4,2002
"3205","SF",9.9,3.6,3.7,2002
"3206","C",4.8,0.5,4.9,2003
"3207","C",1,0.5,2,2003
"3208","PF",1,0,1.6,2003
"3209","SF",0.3,0,0.3,2003
"3210","PF",4.8,0.2,1.4,2003
"3211","SG",4.4,1.1,3.4,2003
"3212","PG",3.7,1.7,0.9,2003
"3213","SG",2.4,0.5,2.1,2003
"3214","SG",9.7,1.9,3.7,2003
"3215","SG",3.7,1.5,1.8,2003
"3216","SF",20.8,3,6.6,2003
"3217","SF",7.7,1.4,3.7,2003
"3218","PG",17.2,7.4,3.5,2003
"3219","SG",2.3,1.4,1.1,2003
"3220","PG",1.7,1.2,0.5,2003
"3221","C",2.3,0.4,1.1,2003
"3222","C",4.6,0.2,3.6,2003
"3223","PF",0,0,0.5,2003
"3224","PF",19.9,3,8.4,2003
"3225","C",8.7,0.9,7.5,2003
"3226","PF",4,0.3,3.5,2004
"3227","SG",7.5,2.9,4.1,2004
"3228","SG",4.5,2.4,4.5,2004
"3229","PF",10.2,0.8,3.1,2004
"3230","PF",2,0.5,2.8,2004
"3231","PG",3.8,2.7,1.7,2004
"3232","C",11.3,0.9,5.6,2004
"3233","PG",16.8,5.4,4.1,2004
"3234","C",2.9,0.4,6.5,2004
"3235","PF",1.3,0,1.3,2004
"3236","C",3.5,0,4,2004
"3237","C",0.9,0.1,1.5,2004
"3238","SF",18.1,3.1,4.6,2004
"3239","SF",3,0.5,1.7,2004
"3240","SG",5.8,1.1,2,2004
"3241","C",3.8,0.3,2.5,2004
"3242","PF",3.5,0.3,4.5,2005
"3243","C",1,0,0.5,2005
"3244","PG",4,2.7,1.7,2005
"3245","PG",5.7,2.2,1.4,2005
"3246","PF",26.1,3.1,9.7,2005
"3247","C",9.2,0.9,8.5,2005
"3248","PG",12.4,5.4,2.4,2005
"3249","SG",14.9,2.3,3.3,2005
"3250","SF",12.6,1.4,6.3,2005
"3251","SF",11.2,1.2,4.7,2005
"3252","SG",9.1,2.1,3.7,2005
"3253","SG",15.7,2.6,4.1,2005
"3254","C",0.2,0,0.4,2005
"3255","C",2.7,0.2,2.8,2005
"3256","C",2.5,0.2,2.7,2006
"3257","C",4.6,0.4,4.9,2006
"3258","PG",6.7,2.1,1.7,2006
"3259","PF",9.3,0.7,6.1,2006
"3260","PF",10.7,0.7,8.4,2006
"3261","PG",4.8,4.2,2.5,2006
"3262","SG",1.3,0.3,1.6,2006
"3263","SG",15.5,3.6,4.5,2006
"3264","SF",31.4,6.6,7,2006
"3265","SF",2.7,0.7,1.1,2006
"3266","C",0,0,0.7,2006
"3267","SG",11.2,2.6,2,2006
"3268","SG",4.5,0.5,1.5,2006
"3269","SG",2.6,0.3,1.2,2006
"3270","C",15.6,1.2,7.5,2006
"3271","PF",3.1,0.3,2.9,2007
"3272","SG",18.2,5.7,5.7,2007
"3273","PG",13.4,7.8,4.4,2007
"3274","SF",2.5,0.4,1.3,2007
"3275","PF",1.4,0.1,1,2007
"3276","PF",8.5,0.8,6.1,2007
"3277","PG",3.8,2.5,1.4,2007
"3278","SF",14.4,1.4,3.5,2007
"3279","PF",1.5,0.1,2.6,2007
"3280","PG",4.3,1.8,1.2,2007
"3281","SF",6.6,0.4,1.9,2007
"3282","C",10.7,0.8,8.9,2007
"3283","PF",4.5,0.3,4.2,2007
"3284","PF",6.4,0.4,4.8,2007
"3285","PF",0.6,0,0.7,2007
"3286","SG",11.3,1.5,2.2,2007
"3287","C",1.7,0.1,1.6,1991
"3288","C",6.2,0.4,4.3,1991
"3289","SF",6.8,1.5,4.2,1991
"3290","PG",4.9,2.8,1.9,1991
"3291","SF",17.4,2.5,4.9,1991
"3292","PF",9.2,2.2,7.1,1991
"3293","SG",4.7,1,0.4,1991
"3294","SF",2.2,0.5,1.8,1991
"3295","SG",12.1,3,2.6,1991
"3296","SG",4.8,1.2,0.5,1991
"3297","C",16.4,1.5,11,1991
"3298","PG",18.5,8.5,2.9,1991
"3299","PF",5.5,0.7,4.8,1991
"3300","SF",12,1.4,3.5,1991
"3301","C",2.5,0.2,1.7,1992
"3302","PF",5.3,0.4,4.1,1992
"3303","PG",10.1,4.5,2.4,1992
"3304","PG",7.9,4,3.2,1992
"3305","SF",22.3,2.3,5,1992
"3306","PF",14.8,2.7,8.5,1992
"3307","SF",4.2,1.3,1,1992
"3308","PG",1,0.7,0,1992
"3309","SF",3.7,0.6,2.4,1992
"3310","PG",10.1,2.1,2.6,1992
"3311","C",2,0.7,1.2,1992
"3312","C",16.4,1.4,11.8,1992
"3313","SG",12,4.6,3.1,1992
"3314","SF",11.2,1.8,3.6,1992
"3315","SF",3.6,0.7,3,1992
"3316","C",2.2,0.7,1.7,1993
"3317","PG",3.9,2.3,1.5,1993
"3318","SF",6.5,1.2,2.7,1993
"3319","SG",5.5,0.5,1,1993
"3320","C",1.3,0.6,4.1,1993
"3321","PG",4.4,1.6,0.7,1993
"3322","PF",6.6,0.6,1.9,1993
"3323","PG",8.1,3.5,2.4,1993
"3324","SF",18.6,2.8,5.7,1993
"3325","SG",9.3,2.7,1.6,1993
"3326","SG",3.8,0.8,0.8,1993
"3327","SF",9.8,1.8,4.7,1993
"3328","C",3.6,0.3,3.7,1993
"3329","PG",14.8,7.5,3.4,1993
"3330","C",17.4,2.4,8.8,1993
"3331","SG",12.5,1.9,1.5,1993
"3332","SG",7.3,1.5,0.8,1993
"3333","PF",14.7,3.8,9.6,1993
"3334","PF",2.9,0.5,3.8,2016
"3335","C",9,1.2,7.6,2016
"3336","PG",8.9,2.1,2.5,2016
"3337","SG",19.6,5.1,3.9,2016
"3338","SF",4.1,1,2.3,2016
"3339","PF",2.8,0,2.1,2016
"3340","SG",13.8,2.6,2.5,2016
"3341","PG",20.4,6.1,4.1,2016
"3342","SG",4.1,0.8,1.3,2016
"3343","PF",8.5,1.1,5.5,2016
"3344","PG",2.5,1.4,0.9,2016
"3345","PF",12.2,1.1,3.8,2016
"3346","SF",8,2.2,6.2,2016
"3347","PG",3.3,3.3,1.3,2016
"3348","PG",5.3,2.4,1.6,2016
"3349","SF",11,0.9,3.1,2016
"3350","C",7.2,1,8.8,2016
"3351","C",7.4,0.5,6.2,2017
"3352","C",8,0.6,6.6,2017
"3353","SG",11,2.4,2.2,2017
"3354","SF",5.3,0.4,2.5,2017
"3355","SG",22.1,3.4,3.2,2017
"3356","PF",3.4,0.5,2.4,2017
"3357","SG",1.5,0.5,3,2017
"3358","PG",21.1,6.3,4.9,2017
"3359","PF",6.8,1.9,3.5,2017
"3360","SF",4.8,0,1.4,2017
"3361","SG",1.8,0.3,0.3,2017
"3362","SG",6.3,1.2,1.5,2017
"3363","PF",9.2,0.7,4.3,2017
"3364","PG",1,1.3,0.8,2017
"3365","SF",14.4,1.1,5.1,2017
"3366","PG",7.3,3.7,1.5,2017
"3367","C",8.4,0.6,11.5,2017
"3368","PF",4,1.6,4.4,2018
"3369","PF",4.1,0.6,1.9,2018
"3370","C",8.5,1.2,7.5,2018
"3371","SG",6.6,1.1,3.3,2018
"3372","SG",3,0.6,1.9,2018
"3373","SG",24.9,4.7,4.5,2018
"3374","PF",6.5,1.6,4.4,2018
"3375","PG",12.7,6.2,4.3,2018
"3376","PG",8.6,3.8,2.3,2018
"3377","PF",3.2,1.6,2,2018
"3378","PG",6.4,2.4,2,2018
"3379","SF",13.1,1.5,4.5,2018
"3380","PF",7.7,1.2,5.5,2018
"3381","PG",6.6,2.4,2.7,2018
"3382","SF",19.6,1.3,5.1,2018
"3383","SG",8.9,0.6,1.7,2018
"3384","PG",7.8,4.4,1.8,2018
"3385","C",6.5,1.2,9.1,2018
"3386","PF",3.6,0.6,3.8,2019
"3387","SG",9.6,1.1,3.5,2019
"3388","SF",13.7,3.9,3.8,2019
"3389","PG",21.1,7,3.9,2019
"3390","PF",11.1,1.3,5.2,2019
"3391","SG",2.1,0.2,0.5,2019
"3392","C",5.8,0.8,8.6,2019
"3393","PF",4.9,1.4,2.7,2019
"3394","C",10.9,1.4,8.4,2019
"3395","SG",13.7,2.4,3.8,2019
"3396","SF",8.5,0.8,3.9,2019
"3397","SF",8.9,1.6,5.2,2019
"3398","PG",9.4,2.6,1.8,2019
"3399","PG",16.8,4.6,2.5,2019
"3400","SG",4,0,1,2019
"3401","SG",4.5,1.2,2,2019
"3402","SG",5.3,1,3.1,2019
"3403","SF",3.7,0,1.4,2008
"3404","C",25.2,1.5,9.1,2008
"3405","PF",8.8,3.9,4.6,2008
"3406","C",3.3,0.2,3.7,2008
"3407","SG",2.2,0.9,0.9,2008
"3408","SF",2.4,0.6,0.8,2008
"3409","SG",5.8,1.1,1.7,2008
"3410","SF",13.1,2.9,5.1,2008
"3411","SG",15.6,2.6,2.8,2008
"3412","SG",11.9,2.2,3.6,2008
"3413","C",3.1,0.2,1.9,2008
"3414","C",13.6,1.5,9.1,2008
"3415","PG",16.9,11.1,3.4,2008
"3416","SG",4.6,0.4,1,2009
"3417","PF",21.4,2,8.1,2009
"3418","PG",2.4,1.9,1.6,2009
"3419","PG",4.5,2,1.9,2009
"3420","SF",12,2.3,5,2009
"3421","SF",5.5,0.8,3,2009
"3422","SG",16.8,2,4.5,2009
"3423","SG",14.2,2.3,2.6,2009
"3424","PF",4.2,0.4,3.6,2009
"3425","PF",10.2,2.8,5.4,2009
"3426","C",3.2,0.1,2,2009
"3427","C",17.8,1.7,8.4,2009
"3428","PG",15.7,9.7,3.1,2009
"3429","PF",3.3,0.2,2.4,2009
"3430","SG",14,2.7,3.3,2014
"3431","C",0.5,0,2.8,2014
"3432","SG",2.1,0.6,1.1,2014
"3433","PF",13.3,1.2,8.7,2014
"3434","PG",3.5,1.7,1.4,2014
"3435","C",12.3,0.9,7.5,2014
"3436","SF",16.2,5.2,5.1,2014
"3437","SG",3,0.7,0.8,2014
"3438","PG",1.1,2.9,1.4,2014
"3439","SF",6.1,0.7,4.7,2014
"3440","PG",3.8,1,0.9,2014
"3441","PF",1.9,0.3,2.6,2014
"3442","PF",9.1,1.2,5,2014
"3443","PF",4.2,0.3,1.7,2014
"3444","SF",10.1,1.6,2.7,2014
"3445","C",2.3,0.2,3.4,2014
"3446","PG",12.8,5.7,2.9,2014
"3447","SG",13.9,3,4.2,2015
"3448","PG",5.3,1,1.2,2015
"3449","PG",4.8,2.4,1.6,2015
"3450","PF",16,1.5,8.2,2015
"3451","SG",5.3,1.2,3.2,2015
"3452","SF",19.3,4.1,4.9,2015
"3453","PF",2,0.4,1.2,2015
"3454","C",1.7,0.1,1.5,2015
"3455","SF",2.4,0.3,1.9,2015
"3456","PF",0,0,1.5,2015
"3457","SF",5,2.3,2.2,2015
"3458","SG",1.5,0,1.5,2015
"3459","SG",8.7,1.7,2.4,2015
"3460","C",8.4,1.3,9.4,2015
"3461","PF",7.2,1.1,5.1,2015
"3462","PG",12.8,4.3,2.7,2015
"3463","SG",13.3,2,3.5,2016
"3464","SF",2.9,0.6,1.9,2016
"3465","PF",16.4,1.5,8.1,2016
"3466","SG",1.8,1,1.8,2016
"3467","PG",1.4,0.3,0.6,2016
"3468","SF",19.7,3.7,5,2016
"3469","SF",0,0,0.5,2016
"3470","C",4.3,0.4,3.4,2016
"3471","SF",4.2,1.2,1.8,2016
"3472","PG",5.9,2.1,1.5,2016
"3473","SG",14.5,2.7,3.4,2016
"3474","C",9.1,1.5,10.9,2016
"3475","PG",8.6,3.6,2.5,2016
"3476","C",2,0.2,1.3,2016
"3477","PF",5.9,1.1,5.7,2016
"3478","PG",10.6,2.3,1.8,2016
"3479","PF",6.1,0.7,3.7,2016
"3480","SG",6.7,0.7,2.9,2017
"3481","PF",4.6,2.3,2.1,2017
"3482","PG",6.2,1.7,2,2017
"3483","PF",9.5,1.1,6.1,2017
"3484","PG",16.9,4.2,3.4,2017
"3485","SF",21.9,3.5,5.4,2017
"3486","C",2.9,0.1,2.4,2017
"3487","SF",7.1,2.7,3.2,2017
"3488","SF",9.2,1.8,3.1,2017
"3489","PF",1.8,0.2,1.4,2017
"3490","PG",2.5,0.9,0.8,2017
"3491","SG",12.7,1.6,3.5,2017
"3492","C",14,1.2,12.8,2017
"3493","PG",7.8,2.8,2.3,2017
"3494","PF",6.2,1,3.3,2017
"3495","SG",7.7,1,3,2018
"3496","PG",8.1,3.1,1.9,2018
"3497","PG",3.3,0,0,2018
"3498","C",12.3,1.3,7.2,2018
"3499","SG",20.5,3.7,3.8,2018
"3500","C",2.6,0.8,2.4,2018
"3501","SF",0,0,0.3,2018
"3502","PF",1,0.3,1,2018
"3503","SF",9.7,1.2,3.4,2018
"3504","SF",11.5,4.8,4.2,2018
"3505","PF",5.8,0.6,3.3,2018
"3506","PG",0.4,0.2,0.4,2018
"3507","SG",3,0,0,2018
"3508","PG",4.5,1.8,1.2,2018
"3509","PG",13.1,5.3,4.6,2018
"3510","SF",5,1.4,3.5,2018
"3511","C",13.5,1.4,10.7,2018
"3512","SF",8.2,0.9,4.3,2018
"3513","C",0.9,0.1,1.2,2018
"3514","SG",8.8,2,3.7,2019
"3515","SF",3.3,0,1.2,2019
"3516","SG",3.9,0.2,0.9,2019
"3517","SG",14.1,3.8,3.5,2019
"3518","SG",20.7,2.5,5,2019
"3519","PF",2,0.5,3,2019
"3520","SF",4.9,1.3,2.4,2019
"3521","PG",17.3,7.3,3.7,2019
"3522","PG",5.1,2.2,1.2,2019
"3523","PF",16.4,1.5,4.6,2019
"3524","PF",7,1.5,3.8,2019
"3525","C",3.7,0.9,4.2,2019
"3526","PF",14.9,1,7.6,2019
"3527","PF",9.6,1.9,5.7,2019
"3528","SF",5.3,0.5,2.8,2019
"3529","C",11.9,2.4,8.3,2019
"3530","PG",5.9,1.9,1.6,2019
"3531","SG",12.7,2.2,4.6,2021
"3532","PG",14.7,4.2,2.6,2021
"3533","PG",10.1,3.2,3.4,2021
"3534","PG",2.7,0.6,1,2021
"3535","PG",11.4,2,2.2,2021
"3536","PG",0.4,0.1,0.3,2021
"3537","PF",24.1,6,10.2,2021
"3538","SF",3.9,0.5,1.4,2021
"3539","C",8.3,0.5,8.1,2021
"3540","C",5.1,0.7,6.4,2021
"3541","C",1.5,0.2,1.5,2021
"3542","PF",4.1,0.5,2.2,2021
"3543","SG",17.6,3,5.7,2021
"3544","SF",10.9,1.5,3.4,2021
"3545","C",5.4,0.8,5.6,2021
"3546","SG",0.1,0.1,0.3,2021
"3547","PF",3.9,0.4,2.3,1993
"3548","PG",10.6,4.6,2,1993
"3549","PG",7.3,3.5,3.8,1993
"3550","SF",19,2.2,5.1,1993
"3551","PF",14,2.4,7.5,1993
"3552","SG",10.3,1,2,1993
"3553","PF",8.3,1.6,6.1,1993
"3554","SF",3.3,0.4,2.9,1993
"3555","SG",13.9,3,3,1993
"3556","C",4.5,0.3,2.5,1993
"3557","C",17.1,1.4,11.8,1993
"3558","SG",16,5.6,4.1,1993
"3559","SF",7.8,0.6,2.6,1993
"3560","PF",2.2,0.1,0.7,1994
"3561","PG",7.7,3.5,2.1,1994
"3562","SG",9,5,4.6,1994
"3563","SF",21.1,2.3,5.3,1994
"3564","PF",11.4,2.5,7.2,1994
"3565","SG",10.5,1.5,2.5,1994
"3566","PF",7.7,1.8,5.3,1994
"3567","SF",2.3,0.4,2.2,1994
"3568","C",7.2,0.4,4.3,1994
"3569","C",15.1,1.9,10.3,1994
"3570","SG",17.3,5.1,4.5,1994
"3571","SF",7,0.7,2.5,1994
"3572","SG",3.1,0.6,0.6,1997
"3573","C",13.4,2.1,8,1997
"3574","C",3.9,0.5,7.3,1997
"3575","SF",15.1,3.2,4,1997
"3576","SF",4.5,1,2.9,1997
"3577","PG",1.3,1,1,1997
"3578","PF",10.8,1.1,5.2,1997
"3579","SG",16.1,2.6,4,1997
"3580","PF",4.1,0.2,2.8,1997
"3581","PG",17.5,7.1,4.4,1997
"3582","PG",3.9,1,0.7,1997
"3583","SG",3,0.6,1.1,1997
"3584","PF",15.1,1.2,6.8,1997
"3585","SG",4,1.7,0.8,1997
"3586","PG",3.3,1.4,0.9,1997
"3587","SG",4.7,0.9,2.3,1997
"3588","C",2.3,0.3,2.7,2000
"3589","PG",5.3,2.3,1.6,2000
"3590","C",11.5,1.3,8.8,2000
"3591","PF",6.9,3.2,6.8,2000
"3592","PG",6.9,2.3,1.4,2000
"3593","SG",7.6,1.3,1.5,2000
"3594","SG",12.4,4.4,3.9,2000
"3595","PG",2.4,1.7,0.7,2000
"3596","C",2.1,0.2,1.4,2000
"3597","PF",7.6,0.6,6.1,2000
"3598","C",1.4,0.1,2.3,2000
"3599","PG",5.1,3.7,1.7,2000
"3600","PF",1.6,0,0.4,2000
"3601","SF",15.4,3.3,6.4,2000
"3602","SF",25.7,3.9,5.8,2000
"3603","C",1.6,0.5,2.4,2005
"3604","PF",15.6,3.2,6.2,2005
"3605","C",4.5,0.6,3.1,2005
"3606","PF",17.8,2.8,9,2005
"3607","C",3,0.7,3.4,2005
"3608","SG",8.8,1.7,2.2,2005
"3609","PG",5.6,3.4,1.2,2005
"3610","C",4.3,1.2,3.2,2005
"3611","PG",7.8,4.5,2.2,2005
"3612","SG",5,0.5,1.7,2005
"3613","PF",4.1,0.6,3,2005
"3614","SF",14,1.8,6.1,2005
"3615","C",12.9,2,7.5,2005
"3616","SG",12.3,1.4,3.2,2005
"3617","PG",3.8,2.6,0.7,2005
"3618","PG",5.2,4,1.2,2005
"3619","C",4.2,0.9,1.9,2020
"3620","SF",21.8,3.7,5.1,2020
"3621","PG",1.7,1.7,0.7,2020
"3622","SG",12.7,2.7,4.9,2020
"3623","PF",6.7,1.8,4.6,2020
"3624","PF",8,6.2,6.2,2020
"3625","PF",14,2.1,4.6,2020
