"","Pos","Points","Assists","Rebounds","Year"
"7235","SG",16.6,2.6,4,1994
"7236","PF",4.5,0.2,3.7,1994
"7237","PG",13.7,7.2,3.1,1994
"7238","C",3.6,0.9,5.5,1994
"7239","C",7.9,1.2,4.9,1994
"7240","SG",2.2,0.9,1.6,1994
"7241","PF",2.8,0.9,3.2,1994
"7242","PF",7.4,0.7,2.7,1994
"7243","PF",2.6,0.6,2.6,1995
"7244","SG",4.1,1.5,1,1995
"7245","PF",4.5,0.4,3.2,1995
"7246","SG",5,2.3,1.1,1995
"7247","C",16.3,2.9,7.5,1995
"7248","PG",7.5,3.9,1.9,1995
"7249","SG",12.9,2.6,3.2,1995
"7250","PF",4.9,0.5,3.3,1995
"7251","SG",20.4,3.3,3.3,1995
"7252","PG",6,3,1,1995
"7253","C",1.3,0.4,1.6,1995
"7254","SF",5.1,0.9,1.6,1995
"7255","C",10.9,1.2,6.1,1995
"7256","PF",5.3,0.5,3.3,1995
"7257","SF",12.7,3.6,7.4,1995
"7258","PG",6.1,4.4,2.3,1995
"7259","PF",13,1.4,6.1,2006
"7260","SG",16.9,3,2.7,2006
"7261","PG",8.7,5,3,2006
"7262","PF",9.2,1.4,3.9,2006
"7263","SF",2.1,0.4,1.5,2006
"7264","SG",2,0.4,0.8,2006
"7265","PF",1.3,0,1.7,2006
"7266","PG",4.8,1.6,1,2006
"7267","PG",15.9,6.3,3.6,2006
"7268","C",1.8,0.4,1.5,2006
"7269","SF",14.3,1.9,6.6,2006
"7270","PF",4.9,0.4,2.6,2006
"7271","C",8.1,0.9,5.3,2006
"7272","C",4.8,0.5,2.2,2006
"7273","SF",0.5,0,0.3,2006
"7274","PG",0,0.2,0.8,2006
"7275","C",5.3,1,9.1,2006
"7276","PF",11.4,1.3,4.7,2009
"7277","PG",11,4.7,3,2009
"7278","PG",7.5,2,2.8,2009
"7279","C",2,0,1.4,2009
"7280","PF",1.6,0.1,0.9,2009
"7281","SF",3.8,0.5,1.5,2009
"7282","SF",12.7,2.3,3.4,2009
"7283","PF",4.1,0.1,1.9,2009
"7284","PF",11.1,1.1,7.4,2009
"7285","PF",0.8,0.1,1.9,2009
"7286","SG",24.6,2.7,3.6,2009
"7287","SG",9.6,1.2,1.9,2009
"7288","C",11.4,1.9,7.1,2009
"7289","PG",5,2.5,1.2,2009
"7290","SF",8.5,1,2.9,2010
"7291","PG",12.9,4.7,2.8,2010
"7292","PF",16.8,0.8,5.9,2010
"7293","SF",2.6,0.4,2.6,2010
"7294","SF",0.7,0.2,1.6,2010
"7295","SF",8.5,0.9,3.1,2010
"7296","SG",8.1,1.8,2.6,2010
"7297","SG",3.6,0.8,2.7,2010
"7298","C",12.5,1.7,8.5,2010
"7299","PF",1.5,0.1,2.9,2010
"7300","PF",2.8,0.4,4.1,2010
"7301","PF",1.6,0.6,3.3,2010
"7302","SF",10.3,1.2,4.6,2010
"7303","C",3.3,0.5,1.9,2010
"7304","C",10,2.2,6,2010
"7305","SG",20.1,5.8,5.3,2010
"7306","SF",2.9,0.7,1.4,1991
"7307","SF",9.3,1.7,3.2,1991
"7308","PF",1.2,0.1,1.3,1991
"7309","C",1,0.2,0.8,1991
"7310","SG",5.7,0.5,1.2,1991
"7311","PG",4,2.6,0.8,1991
"7312","SG",18.6,2.1,3,1991
"7313","PG",17.2,14.2,2.9,1991
"7314","PF",29,3.3,11.8,1991
"7315","C",5.1,0.6,8.4,1991
"7316","C",4.8,0.6,4.1,1991
"7317","PF",3.8,0,1.3,1991
"7318","PF",12.4,1.5,4.9,1991
"7319","SG",2.8,0.5,1.4,1991
"7320","C",1.4,0.2,0.7,1991
"7321","PG",16,6.6,5.3,1994
"7322","PF",5.3,0.9,4.5,1994
"7323","SG",4.6,1.5,1.7,1994
"7324","SF",12.8,2.6,2.7,1994
"7325","SF",7.4,0.8,3.4,1994
"7326","C",2,1,1,1994
"7327","C",1.2,0.1,2.5,1994
"7328","PF",6.6,0.9,4,1994
"7329","C",0.7,0.1,0.5,1994
"7330","PF",5.1,1,3.6,1994
"7331","PG",2.5,0.3,0.4,1994
"7332","SG",15.8,3.6,5.9,1994
"7333","PG",9.9,6.1,2.3,1994
"7334","C",29.3,2.4,13.2,1994
"7335","C",1.7,0.2,2.1,1994
"7336","PG",20.9,7.2,4.4,1995
"7337","PF",3.6,0.6,4.2,1995
"7338","SG",5.5,2.1,1.8,1995
"7339","PG",6.4,5.2,3.1,1995
"7340","PG",3.1,1.1,0.6,1995
"7341","PG",3.3,1,0.3,1995
"7342","SF",12.9,2.1,2.4,1995
"7343","SF",9.1,2.8,4,1995
"7344","C",4,1,2,1995
"7345","PF",12.8,2.3,9.6,1995
"7346","PF",4.1,0.8,2,1995
"7347","C",0.3,0,1,1995
"7348","SG",15.8,4.1,4.4,1995
"7349","C",29.3,2.7,11.5,1995
"7350","C",1.2,0.2,1.9,1995
"7351","PG",21.7,7.1,4.3,1996
"7352","PF",3.3,1,4.8,1996
"7353","SG",4.2,1.4,1.6,1996
"7354","PG",6.6,4.5,3,1996
"7355","PG",4.2,0.9,0.7,1996
"7356","PG",3.2,0.4,0.2,1996
"7357","PF",1.9,0.2,2.4,1996
"7358","SF",17.5,3,3.8,1996
"7359","SF",5.3,0.7,2.4,1996
"7360","PF",13.4,2.7,9.2,1996
"7361","PF",3.6,0.5,2.2,1996
"7362","PF",4.5,1,3,1996
"7363","C",3,0.8,4,1996
"7364","SG",14.7,3.6,5.4,1996
"7365","C",26.6,2.9,11.1,1996
"7366","SG",16.4,3.6,4,1998
"7367","PF",9.5,2.6,7.8,1998
"7368","C",5.5,0.6,3.3,1998
"7369","PG",9.2,4.9,3.4,1998
"7370","SF",5.5,0.3,2.7,1998
"7371","SG",8.6,3.5,1.5,1998
"7372","PF",12.7,0.9,7.3,1998
"7373","SG",5.3,1.1,1.2,1998
"7374","C",12.1,2.3,8.1,1998
"7375","C",1.5,0.3,1.6,1998
"7376","SF",3.2,0.1,1.1,1998
"7377","SG",3.8,1,1.4,1998
"7378","PG",3.5,1.9,1.2,1998
"7379","PG",9.5,4.7,2.1,1998
"7380","SF",15.3,2.1,5.1,1998
"7381","PG",3,1.3,0.8,1998
"7382","SG",15.8,5.3,5.7,1999
"7383","PG",3.3,1.9,1.3,1999
"7384","PF",6.5,1.8,5.3,1999
"7385","C",1.5,0.2,0.8,1999
"7386","PG",13.8,6.7,3.6,1999
"7387","PF",5.1,0.4,3.7,1999
"7388","SF",5,0.6,2.6,1999
"7389","SG",0.7,0.3,0.3,1999
"7390","PF",8.9,1.8,7,1999
"7391","C",9.7,1.8,4.8,1999
"7392","C",0,0,0,1999
"7393","PG",1.6,0.4,0.9,1999
"7394","SF",8.2,0.9,4.3,1999
"7395","C",6.2,0.4,3,1999
"7396","SG",0.4,0,0.4,1999
"7397","SF",14.9,1.9,5.9,1999
"7398","SG",16.9,5.3,5.8,2000
"7399","PF",0.8,0.4,1.8,2000
"7400","SF",18.5,2.8,4.5,2000
"7401","PF",2.8,0.3,3,2000
"7402","PF",2.6,0.5,1.5,2000
"7403","PG",14.3,10.1,7.2,2000
"7404","PG",6.7,4,2.7,2000
"7405","C",6.3,1.1,4.5,2000
"7406","C",0.7,0.1,1.4,2000
"7407","C",6.3,1.3,5.1,2000
"7408","PG",4.8,2.2,1.6,2000
"7409","SG",6.6,1.2,1.5,2000
"7410","PF",13.8,2.1,5.5,2000
"7411","SF",10.2,1.4,6.6,2000
"7412","SG",3.5,0.7,1.6,2000
"7413","SG",6.8,1.1,2.2,2000
"7414","PF",13.7,2.3,7.9,2000
"7415","SG",9.8,3.8,4.6,2001
"7416","C",1.4,0.3,3.4,2001
"7417","PF",16.4,2.9,4.1,2001
"7418","C",3.1,0.2,1.8,2001
"7419","PG",3,1.6,1,2001
"7420","C",4.5,0.3,4.3,2001
"7421","PG",16.9,9.8,6.4,2001
"7422","SG",4.4,1.9,2.3,2001
"7423","SF",12.2,2.2,4.3,2001
"7424","SF",17.3,2,10.7,2001
"7425","PF",6.4,1,4.4,2001
"7426","SG",12.3,2,3.2,2001
"7427","PG",3.9,1.9,1.3,2001
"7428","SF",2.5,2,2.5,2006
"7429","C",12.3,0.8,5.7,2006
"7430","SF",5.1,0.6,4.5,2006
"7431","C",13.6,0.3,6,2006
"7432","SF",2.8,0.8,2.2,2006
"7433","C",5.3,0.5,3.3,2006
"7434","SF",12.3,2.5,2.9,2006
"7435","SG",14.3,3.8,3.2,2006
"7436","C",3,0.3,2.1,2006
"7437","PF",4.4,0.9,3.6,2006
"7438","PF",6.3,0.8,3.4,2006
"7439","PG",9.3,2,2.3,2006
"7440","SF",8.2,1.6,4.2,2006
"7441","SF",6.7,1,3.9,2006
"7442","PG",16.3,6.4,2.9,2006
"7443","PG",14.4,4.9,4.2,2006
"7444","SG",8.3,1.4,2.2,2020
"7445","SG",22.2,4.4,4.3,2020
"7446","PF",2.4,1.1,3.7,2020
"7447","PF",15.4,1.5,6.3,2020
"7448","PG",30,8,4.3,2020
"7449","SF",8.9,1,1.6,2020
"7450","C",15.5,1.2,13.6,2020
"7451","PF",2.9,0.3,2.5,2020
"7452","C",17.6,4,10.3,2020
"7453","PF",4.8,0.9,3.5,2020
"7454","C",1.2,0.1,1.5,2020
"7455","PF",3.6,0.5,2.2,2020
"7456","SF",11,1.5,3.5,2020
"7457","C",5.8,1.3,5.2,2020
"7458","SF",8,1.7,4.6,2020
"7459","PF",2.1,0.3,1.7,2020
"7460","PF",7,1.5,6.3,2020
"7461","SG",7.8,1.4,2.2,2021
"7462","SF",2.3,0.3,1.1,2021
"7463","SG",23.1,4.7,3.9,2021
"7464","PF",13.4,1.5,3.1,2021
"7465","PG",28.8,7.5,4.2,2021
"7466","SF",6.8,0.8,3.5,2021
"7467","C",11.2,1.2,11,2021
"7468","C",2.8,0.8,3.5,2021
"7469","C",11.5,3.4,8.9,2021
"7470","SF",0.7,0.2,0.6,2021
"7471","PF",4.6,0.5,2.7,2021
"7472","SG",18.6,1.9,3.1,2021
"7473","PF",8.5,1.7,6.7,2021
"7474","PF",2.5,1.2,2.4,2021
"7475","PF",1.7,0.1,0.7,2021
"7476","SF",6.4,0.9,2.2,2002
"7477","PF",1.8,1,1.8,2002
"7478","PF",4.5,0.7,4,2002
"7479","SG",14.4,5.3,5.4,2002
"7480","C",6.2,1.1,3.6,2002
"7481","SF",12.4,1.4,4.7,2002
"7482","PG",3.6,2,1.3,2002
"7483","PG",22.1,9,4.9,2002
"7484","C",5.3,0.4,4.2,2002
"7485","C",1.5,0.1,2.2,2002
"7486","C",6.8,0.8,3.5,2002
"7487","PG",3.2,2,1.9,2002
"7488","SF",16.8,1.7,7.1,2002
"7489","SG",4.4,1.7,1.2,2002
"7490","C",14.1,1.3,6.4,2002
"7491","PF",6.7,1.3,3.7,2002
"7492","SF",2.1,0.5,1.7,2003
"7493","SG",10.3,5.1,4,2003
"7494","C",2.9,0.3,2.3,2003
"7495","C",6.1,0.9,3.2,2003
"7496","C",5.4,0.5,4.2,2003
"7497","SG",1.4,0.6,0.6,2003
"7498","PG",6.5,3.5,2.2,2003
"7499","C",9.4,1,3.9,2003
"7500","SF",18.1,1.7,6.6,2003
"7501","SG",22.5,4.4,5,2003
"7502","PF",3.2,0.5,6.6,2003
"7503","SG",1.9,0.4,0.3,2003
"7504","C",4,0.2,3.5,2003
"7505","PF",10.1,1.3,4.5,2003
"7506","SF",3.5,0.3,1.7,2004
"7507","PG",8,4.2,2,2004
"7508","SG",10.8,5.8,3.5,2004
"7509","C",4.9,0.4,3.9,2004
"7510","C",5,0.5,3.5,2004
"7511","C",2,0,2,2004
"7512","PG",5.5,2.4,1.6,2004
"7513","SF",17.8,2.2,6.5,2004
"7514","SG",23,4.8,5.1,2004
"7515","PF",2.9,0.4,5.5,2004
"7516","SF",3.4,0.4,1,2004
"7517","PG",12.4,2.5,2.4,2004
"7518","C",7.1,0.8,4.5,2004
"7519","PF",12,1.8,5.3,2004
"7520","SF",14.8,0.9,6.3,2004
"7521","PF",14,4.5,8.3,2004
"7522","C",3.9,0.2,4.4,2004
"7523","C",21.8,2.7,8.7,2004
"7524","SF",3,0.4,2.7,2004
"7525","SF",8.6,1.4,5.5,2004
"7526","SG",8.5,2.1,2.6,2004
"7527","SG",18.6,2.9,4.5,2004
"7528","C",4.6,0.4,3.1,2004
"7529","C",3.3,0.3,2.6,2004
"7530","PG",14.5,8.8,3,2004
"7531","SG",6,0.8,1.8,2004
"7532","PG",2.8,1.8,1.1,2004
"7533","PF",19.6,2.3,7.7,2005
